"Title","Publish Year","Authors","Rating","Image Uri","Amazon Uri","Content Uri","Content Type","Category Group Name","Category Name","Reflection"
"An Introduction to Information Theory: Symbols, Signals and Noise (Dover Books on Mathematics)","1980","John R. Pierce","0.00","http://ecx.images-amazon.com/images/I/51KabeopEJL._SX314_BO1,204,203,200_.jpg","http://www.amazon.com/An-Introduction-Information-Theory-Mathematics/dp/0486240614/ref=pd_bxgy_14_img_2?ie=UTF8&refRID=0W6PPG0MM52E4VMB3AN0","","","Software Engineering","General",""
"Envisioning Information","1990","Edward R. Tufte","0.00","http://ecx.images-amazon.com/images/I/41GISA%2BkrYL._SX397_BO1,204,203,200_.jpg","http://www.amazon.com/Envisioning-Information-Edward-R-Tufte/dp/0961392118/ref=sr_1_1?s=books&ie=UTF8&qid=1457442097&sr=1-1&keywords=Envisioning+Information","","","Software Engineering","General",""
"The Mythical Man-Month: Essays on Software Engineering","1995","Frederick P., Brooks Jr.","0.00","http://ecx.images-amazon.com/images/I/51XnDL5KC%2BL._SX334_BO1,204,203,200_.jpg","http://www.amazon.com/The-Mythical-Man-Month-Engineering-Anniversary/dp/0201835959/ref=pd_sim_14_27?ie=UTF8&dpID=51XnDL5KC%2BL&dpSrc=sims&preST=_AC_UL160_SR108%2C160_&refRID=03YPH5QWFA7ME9VTSRWC","","","Software Engineering","General",""
"Structure and Interpretation of Computer Programs","1996"," Harold Abelson, Gerald Jay Sussman, Julie Sussman  (Contributor)","0.00","http://ecx.images-amazon.com/images/I/51H17R%2BbW8L._SX331_BO1,204,203,200_.jpg","http://www.amazon.com/Structure-Interpretation-Computer-Programs-Engineering/dp/0262510871/ref=pd_sim_14_14?ie=UTF8&dpID=51H17R%2BbW8L&dpSrc=sims&preST=_AC_UL160_SR107%2C160_&refRID=1WADXDHNZ7KNPS7FA3N9","","","Software Engineering","General",""
"Rapid Development: Taming Wild Software Schedules","1996","Steve McConnell","0.00","http://ecx.images-amazon.com/images/I/51R7DzmRqmL._SX396_BO1,204,203,200_.jpg","http://www.amazon.com/Rapid-Development-Taming-Software-Schedules/dp/1556159005/ref=sr_1_1?s=books&ie=UTF8&qid=1457441993&sr=1-1&keywords=Rapid+Development%3A+Taming+Wild+Software+Schedules","","","Software Engineering","General",""
"Programming Pearls","1999","Jon Bentley","0.00","http://ecx.images-amazon.com/images/I/41WonSY9PbL._SX394_BO1,204,203,200_.jpg","http://www.amazon.com/Programming-Pearls-2nd-Jon-Bentley/dp/0201657880/ref=sr_1_1?s=books&ie=UTF8&qid=1457442420&sr=1-1&keywords=Programming+Pearls","","","Software Engineering","General",""
"Code: The Hidden Language of Computer Hardware and Software","2000","Charles Petzold","0.00","http://ecx.images-amazon.com/images/I/310WZuKyEUL._SX334_BO1,204,203,200_.jpg","http://www.amazon.com/Code-Language-Computer-Hardware-Software/dp/0735611319/ref=pd_sim_14_22?ie=UTF8&dpID=310WZuKyEUL&dpSrc=sims&preST=_AC_UL160_SR108%2C160_&refRID=08X2B633CTA7SNJ0PGT1","","","Software Engineering","General",""
"The Inmates Are Running the Asylum: Why High Tech Products Drive Us Crazy and How to Restore the Sanity","2004","Alan Cooper","0.00","http://ecx.images-amazon.com/images/I/51nzVqnkrtL._SX330_BO1,204,203,200_.jpg","http://www.amazon.com/The-Inmates-Are-Running-Asylum/dp/0672326140/ref=pd_sim_14_13?ie=UTF8&dpID=51nzVqnkrtL&dpSrc=sims&preST=_AC_UL160_SR106%2C160_&refRID=1WKK2ZJA79H9AX6N0W91","","","Software Engineering","General",""
"Facts and Fallacies of Software Engineering","2003","Robert L. Glass","0.00","http://ecx.images-amazon.com/images/I/41LgFeaCRhL._SX397_BO1,204,203,200_.jpg","http://www.amazon.com/Facts-Fallacies-Software-Engineering-Robert-ebook/dp/B001TKD4RG/ref=mt_kindle?_encoding=UTF8&me=","","","Software Engineering","General",""
"GUI Bloopers 2.0, Second Edition: Common User Interface Design Don'ts and Dos (Interactive Technologies)","2007","Jeff Johnson","0.00","http://ecx.images-amazon.com/images/I/51c5DOUaS-L._SX403_BO1,204,203,200_.jpg","http://www.amazon.com/GUI-Bloopers-2-0-Second-Technologies/dp/0123706432/ref=sr_1_1?s=books&ie=UTF8&qid=1457444884&sr=1-1&keywords=GUI+Bloopers+2.0%2C+Second+Edition","","","Software Engineering","General",""
"Dreaming in Code: Two Dozen Programmers, Three Years, 4,732 Bugs, and One Quest for Transcendent Software","2008","Scott Rosenberg ","0.00","http://ecx.images-amazon.com/images/I/51A4kD%2BnpYL._SX328_BO1,204,203,200_.jpg","http://www.amazon.com/Dreaming-Code-Programmers-Transcendent-Software/dp/1400082471/ref=sr_1_1?s=books&ie=UTF8&qid=1457441770&sr=1-1&keywords=Dreaming+in+Code%3A+Two+Dozen+Programmers%2C","","","Software Engineering","General",""
"The Passionate Programmer: Creating a Remarkable Career in Software Development (Pragmatic Life)","2009","Chad Fowler","0.00","http://ecx.images-amazon.com/images/I/51COTsyWi8L._SX331_BO1,204,203,200_.jpg","http://www.amazon.com/The-Passionate-Programmer-Remarkable-Development/dp/1934356344/ref=pd_sim_14_17?ie=UTF8&dpID=51COTsyWi8L&dpSrc=sims&preST=_AC_UL160_SR107%2C160_&refRID=0HKDXG8AERPD8MZX5RZ3","","","Software Engineering","General",""
"Regular Expressions Cookbook","2012","Jan Goyvaerts, Steven Levithan","0.00","http://ecx.images-amazon.com/images/I/51pOoMP4MUL._SX379_BO1,204,203,200_.jpg","http://www.amazon.com/Regular-Expressions-Cookbook-Jan-Goyvaerts/dp/1449319432/ref=sr_1_1?ie=UTF8&qid=1457441965&sr=8-1&keywords=Regular+Expressions+Cookbook","","","Software Engineering","General",""
"Peopleware: Productive Projects and Teams","2013","Tom DeMarco, Tim Lister","0.00","http://ecx.images-amazon.com/images/I/51ppX3F3ScL._SX341_BO1,204,203,200_.jpg","http://www.amazon.com/Peopleware-Productive-Projects-Teams-Edition/dp/0321934113/ref=pd_sim_14_2?ie=UTF8&dpID=51ppX3F3ScL&dpSrc=sims&preST=_AC_UL160_SR110%2C160_&refRID=1P8FZ37A2F33RSYFQY40","","","Software Engineering","General",""
